category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0016747	0.0800231842688909	0.95654854351786	13	221	acyltransferase activity, transferring groups other than amino-acyl groups	MF	1	1
GO:0004521	0.0801149844315932	0.972680443635154	5	67	endoribonuclease activity	MF	1	1
GO:0051291	0.0802171542125393	0.982268458670991	3	27	protein heterooligomerization	BP	1	1
GO:0008611	0.0803015906667929	0.989557619908385	2	11	ether lipid biosynthetic process	BP	1	1
GO:0046504	0.0803015906667929	0.989557619908385	2	11	glycerol ether biosynthetic process	BP	1	1
GO:0097384	0.0803015906667929	0.989557619908385	2	11	cellular lipid biosynthetic process	BP	1	1
GO:0008608	0.0803636513903637	0.976856068873068	4	43	attachment of spindle microtubules to kinetochore	BP	1	1
GO:0000910	0.0803837779971316	0.957601682866024	12	186	cytokinesis	BP	1	1
GO:0070410	0.0804537505069112	0.989526492902958	2	11	co-SMAD binding	MF	1	1
GO:0022625	0.0804579096423499	0.976542243461854	4	57	cytosolic large ribosomal subunit	CC	1	1
GO:0004557	0.080476778365475	0.998314692133925	1	2	alpha-galactosidase activity	MF	1	1
GO:0006352	0.0807205589684588	0.961963819602107	9	144	DNA-templated transcription initiation	BP	1	1
GO:0080111	0.0807240351274885	0.981916071861487	3	32	DNA demethylation	BP	1	1
GO:0042659	0.0808116899030315	0.982182354463016	3	25	regulation of cell fate specification	BP	1	1
GO:0106260	0.0808142497828821	0.998300222312942	1	2	DNA-DNA tethering activity	MF	1	1
GO:0140585	0.0808142497828821	0.998300222312942	1	2	promoter-enhancer loop anchoring activity	MF	1	1
GO:0140587	0.0808142497828821	0.998300222312942	1	2	chromatin loop anchoring activity	MF	1	1
GO:1901876	0.0809287069330925	0.997460862779515	1	4	regulation of calcium ion binding	BP	1	1
GO:1901877	0.0809287069330925	0.997460862779515	1	4	negative regulation of calcium ion binding	BP	1	1
GO:0008466	0.0812455609349711	0.998281634963944	1	2	glycogenin glucosyltransferase activity	MF	1	1
GO:0102751	0.0812455609349711	0.998281634963944	1	2	UDP-alpha-D-glucose:glucosyl-glycogenin alpha-D-glucosyltransferase activity	MF	1	1
GO:0051962	0.0814273428355602	0.951804585993348	17	280	positive regulation of nervous system development	BP	1	1
GO:0006686	0.0816978285551732	0.989270667356652	2	11	sphingomyelin biosynthetic process	BP	1	1
GO:0050136	0.0817407652286938	0.981344024147474	3	42	NADH dehydrogenase (quinone) activity	MF	1	1
GO:0032060	0.0817590632450612	0.989258014414368	2	11	bleb assembly	BP	1	1
GO:0000245	0.0820762303114943	0.968337735574527	6	93	spliceosomal complex assembly	BP	1	1
GO:0000724	0.0822167529259882	0.957855439414921	11	169	double-strand break repair via homologous recombination	BP	1	1
GO:0005960	0.08224508263268	0.998238155004478	1	2	glycine cleavage complex	CC	1	1
GO:0030134	0.0824234620858334	0.965544594202611	7	92	COPII-coated ER to Golgi transport vesicle	CC	1	1
GO:0098644	0.0824287929487053	0.98186650466334	3	22	complex of collagen trimers	CC	1	1
GO:0048854	0.0825164331260197	0.976144176011071	4	39	brain morphogenesis	BP	1	1
GO:0005779	0.0827371968152209	0.988611501985655	2	15	integral component of peroxisomal membrane	CC	1	1
GO:0031231	0.0827371968152209	0.988611501985655	2	15	intrinsic component of peroxisomal membrane	CC	1	1
GO:2000303	0.0827510053697963	0.988912100488722	2	12	regulation of ceramide biosynthetic process	BP	1	1
GO:1903867	0.0828681842469612	0.988887396174726	2	12	extraembryonic membrane development	BP	1	1
GO:0004368	0.0829162259010288	0.998208641410443	1	2	glycerol-3-phosphate dehydrogenase (quinone) activity	MF	1	1
GO:0006127	0.0829162259010288	0.998208641410443	1	2	glycerophosphate shuttle	BP	1	1
GO:0016901	0.0829162259010288	0.998208641410443	1	2	oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor	MF	1	1
GO:0050431	0.0829200981877537	0.981519802438745	3	25	transforming growth factor beta binding	MF	1	1
GO:1902524	0.0829583297960593	0.997620519511315	1	3	positive regulation of protein K48-linked ubiquitination	BP	1	1
GO:0050839	0.0830565985117339	0.943064537173834	31	558	cell adhesion molecule binding	MF	1	1
GO:0019731	0.0831045855383212	0.980635986393862	3	63	antibacterial humoral response	BP	1	1
GO:0034767	0.0835104774246028	0.956997937000513	11	186	positive regulation of ion transmembrane transport	BP	1	1
GO:0097386	0.083744072331151	0.9757027790917	4	38	glial cell projection	CC	1	1
GO:1904667	0.0838538846252517	0.98867875287936	2	12	negative regulation of ubiquitin protein ligase activity	BP	1	1
GO:0008593	0.0838599600490522	0.964749675041041	7	97	regulation of Notch signaling pathway	BP	1	1
GO:0097577	0.0840094734281738	0.996963084284471	1	6	sequestering of iron ion	BP	1	1
GO:0098808	0.0840789643535305	0.998156903519403	1	2	mRNA cap binding	MF	1	1
GO:0004342	0.0842585131989719	0.998148845600866	1	2	glucosamine-6-phosphate deaminase activity	MF	1	1
GO:0006043	0.0842585131989719	0.998148845600866	1	2	glucosamine catabolic process	BP	1	1
GO:0090150	0.0844694506296038	0.951519076951467	15	270	establishment of protein localization to membrane	BP	1	1
GO:0061107	0.084520958257665	0.998137034357344	1	2	seminal vesicle development	BP	1	1
GO:0042177	0.0846365382199991	0.961948982930882	8	110	negative regulation of protein catabolic process	BP	1	1
GO:0090305	0.0847020860606907	0.952419076937578	14	248	nucleic acid phosphodiester bond hydrolysis	BP	1	1
GO:0006567	0.0848117921745197	0.997024702471921	1	5	threonine catabolic process	BP	1	1
GO:0016614	0.0848321826656999	0.961635250197805	8	139	oxidoreductase activity, acting on CH-OH group of donors	MF	1	1
GO:0035251	0.0849017751281486	0.98860099361185	2	11	UDP-glucosyltransferase activity	MF	1	1
GO:0032279	0.0849445941373222	0.947169755013544	20	328	asymmetric synapse	CC	1	1
GO:0030662	0.0849891104287627	0.954717952356454	12	195	coated vesicle membrane	CC	1	1
GO:0006982	0.0852249315317207	0.99748601783917	1	3	response to lipid hydroperoxide	BP	1	1
GO:0033842	0.0852453407618923	0.998104229984208	1	2	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity	MF	1	1
GO:0033036	0.0853398955678302	0.929342094591983	130	2945	macromolecule localization	BP	1	1
GO:0006888	0.0853881842291442	0.959385829176071	9	133	endoplasmic reticulum to Golgi vesicle-mediated transport	BP	1	1
GO:0051099	0.0856868875309468	0.955718342226923	11	177	positive regulation of binding	BP	1	1
GO:0097254	0.0857040920874905	0.980390552183599	3	30	renal tubular secretion	BP	1	1
GO:0006040	0.0857432771993637	0.974819118782381	4	41	amino sugar metabolic process	BP	1	1
GO:0018230	0.085783872097334	0.980669159534117	3	24	peptidyl-L-cysteine S-palmitoylation	BP	1	1
GO:0018231	0.085783872097334	0.980669159534117	3	24	peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine	BP	1	1
GO:1901841	0.0859094717534503	0.9880087717726	2	14	regulation of high voltage-gated calcium channel activity	BP	1	1
GO:0006613	0.0860447474849919	0.980279907287254	3	30	cotranslational protein targeting to membrane	BP	1	1
GO:0051346	0.0860585313016098	0.948498861695886	17	371	negative regulation of hydrolase activity	BP	1	1
GO:0046959	0.0861046960652996	0.998064924817336	1	2	habituation	BP	1	1
GO:1901184	0.086191166541244	0.966476543823152	6	80	regulation of ERBB signaling pathway	BP	1	1
GO:0060314	0.0863379230826826	0.980372733297379	3	26	regulation of ryanodine-sensitive calcium-release channel activity	BP	1	1
GO:0090310	0.0863618171608812	0.997417104569616	1	3	negative regulation of DNA methylation-dependent heterochromatin formation	BP	1	1
GO:0000184	0.0864476633408317	0.974574318601716	4	40	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	BP	1	1
GO:0061024	0.0866224217779837	0.937486610379444	40	871	membrane organization	BP	1	1
GO:0044249	0.0868807436008729	0.925485539991159	232	5776	cellular biosynthetic process	BP	1	1
GO:0043933	0.086907459872897	0.931287167359933	78	1836	protein-containing complex organization	BP	1	1
GO:0071481	0.0869694741989716	0.987882882810969	2	13	cellular response to X-ray	BP	1	1
GO:0030295	0.0870020724643566	0.960617940316435	8	114	protein kinase activator activity	MF	1	1
GO:0009295	0.0872705128997108	0.974098353344322	4	45	nucleoid	CC	1	1
GO:0042645	0.0872705128997108	0.974098353344322	4	45	mitochondrial nucleoid	CC	1	1
GO:0016054	0.0874544656254251	0.950633994143972	14	248	organic acid catabolic process	BP	1	1
GO:0006346	0.0874558709249174	0.980131841944207	3	24	DNA methylation-dependent heterochromatin formation	BP	1	1
GO:0006691	0.0875666406187477	0.979607373241898	3	35	leukotriene metabolic process	BP	1	1
GO:0007052	0.0877394888769426	0.958034246576433	9	134	mitotic spindle organization	BP	1	1
GO:0005971	0.0877710374571915	0.997987506478975	1	2	ribonucleoside-diphosphate reductase complex	CC	1	1
GO:0034332	0.0877853773216654	0.969592750282767	5	51	adherens junction organization	BP	1	1
GO:0002638	0.0877983129140183	0.987700553806089	2	13	negative regulation of immunoglobulin production	BP	1	1
GO:0030674	0.0880397115824619	0.944961173621461	20	347	protein-macromolecule adaptor activity	MF	1	1
GO:0010851	0.0880867512583317	0.98735021929016	2	16	cyclase regulator activity	MF	1	1
GO:0003676	0.0880925274109686	0.925634013571688	168	4277	nucleic acid binding	MF	1	1
GO:1901018	0.0882256225551791	0.97961009486075	3	29	positive regulation of potassium ion transmembrane transporter activity	BP	1	1
GO:0070646	0.0882586386418394	0.954156454630648	11	176	protein modification by small protein removal	BP	1	1
GO:0042398	0.0883007897734134	0.973661108103223	4	46	cellular modified amino acid biosynthetic process	BP	1	1
GO:0002522	0.0883985837700177	0.997291216026018	1	3	leukocyte migration involved in immune response	BP	1	1
GO:0003714	0.0884125660674076	0.952600339588608	12	191	transcription corepressor activity	MF	1	1
GO:0003678	0.088474998283542	0.96551029578485	6	70	DNA helicase activity	MF	1	1
GO:0048710	0.0884942024968086	0.979400286269647	3	32	regulation of astrocyte differentiation	BP	1	1
GO:0036002	0.088708671681839	0.973321740941545	4	54	pre-mRNA binding	MF	1	1
GO:1903894	0.0887107111004077	0.987387644966019	2	14	regulation of IRE1-mediated unfolded protein response	BP	1	1
GO:0061056	0.088747106454692	0.996935937146152	1	4	sclerotome development	BP	1	1
GO:0009081	0.0887689553690813	0.979528772836158	3	27	branched-chain amino acid metabolic process	BP	1	1
GO:0006886	0.0889754370597078	0.934925300187144	43	865	intracellular protein transport	BP	1	1
GO:0018342	0.0890022478809265	0.987564984842103	2	12	protein prenylation	BP	1	1
GO:0097354	0.0890022478809265	0.987564984842103	2	12	prenylation	BP	1	1
GO:0060795	0.0890508077225298	0.979180401570041	3	33	cell fate commitment involved in formation of primary germ layer	BP	1	1
GO:0061182	0.089142509079031	0.997244456884959	1	3	negative regulation of chondrocyte development	BP	1	1
GO:0044754	0.0891757345968438	0.987395237269384	2	13	autolysosome	CC	1	1
GO:0004623	0.0892257982051116	0.979027194088865	3	36	phospholipase A2 activity	MF	1	1
GO:0090178	0.089323188158343	0.987494228921055	2	12	regulation of establishment of planar polarity involved in neural tube closure	BP	1	1
GO:0055007	0.0893897287636074	0.959219381345778	8	124	cardiac muscle cell differentiation	BP	1	1
GO:0086064	0.0894162130683955	0.979431044951579	3	25	cell communication by electrical coupling involved in cardiac conduction	BP	1	1
GO:0051926	0.089423897802377	0.968403796608787	5	75	negative regulation of calcium ion transport	BP	1	1
GO:0010528	0.0894501658349698	0.979207040313647	3	29	regulation of transposition	BP	1	1
GO:0010529	0.0894501658349698	0.979207040313647	3	29	negative regulation of transposition	BP	1	1
GO:0000307	0.089503308413969	0.973082542401783	4	50	cyclin-dependent protein kinase holoenzyme complex	CC	1	1
GO:0019284	0.0897435543641327	0.997206373653644	1	3	L-methionine salvage from S-adenosylmethionine	BP	1	1
GO:1901798	0.089775313470535	0.979055411529125	3	30	positive regulation of signal transduction by p53 class mediator	BP	1	1
GO:1990830	0.0897974335552054	0.961614790042035	7	100	cellular response to leukemia inhibitory factor	BP	1	1
GO:0030509	0.089813312603884	0.954844583893515	10	166	BMP signaling pathway	BP	1	1
GO:0008065	0.0898905008858529	0.997197021409321	1	3	establishment of blood-nerve barrier	BP	1	1
GO:0070934	0.0899266177533003	0.987519626071091	2	11	CRD-mediated mRNA stabilization	BP	1	1
GO:0048024	0.0899716726795005	0.959026026633859	8	109	regulation of mRNA splicing, via spliceosome	BP	1	1
GO:0140021	0.0899995263078823	0.996642157754832	1	5	mitochondrial ADP transmembrane transport	BP	1	1
GO:1990544	0.0899995263078823	0.996642157754832	1	5	mitochondrial ATP transmembrane transport	BP	1	1
GO:0047710	0.0900148525677528	0.997880743692359	1	2	bis(5'-adenosyl)-triphosphatase activity	MF	1	1
GO:0001710	0.0905045666565133	0.986657639147248	2	18	mesodermal cell fate commitment	BP	1	1
GO:1901503	0.0906550817355777	0.987198943090942	2	12	ether biosynthetic process	BP	1	1
GO:0034774	0.0907331856718466	0.946288922815431	16	322	secretory granule lumen	CC	1	1
GO:1903564	0.0907570281872247	0.987337296032468	2	11	regulation of protein localization to cilium	BP	1	1
GO:0031106	0.0908275383483612	0.997841361472399	1	2	septin ring organization	BP	1	1
GO:0009888	0.0911429241448206	0.92707872166376	85	1993	tissue development	BP	1	1
GO:0071285	0.0911918963025114	0.986943161753768	2	13	cellular response to lithium ion	BP	1	1
GO:0021670	0.0912256549853673	0.987071632738831	2	12	lateral ventricle development	BP	1	1
GO:2001251	0.0912698647884815	0.960857493753513	7	98	negative regulation of chromosome organization	BP	1	1
GO:0070436	0.0914145566395867	0.99781267833818	1	2	Grb2-EGFR complex	CC	1	1
GO:0032956	0.0914298641716298	0.942536945695789	20	365	regulation of actin cytoskeleton organization	BP	1	1
GO:0072599	0.0914762738522397	0.972331002969134	4	48	establishment of protein localization to endoplasmic reticulum	BP	1	1
GO:0006534	0.091490988185901	0.98675931677691	2	14	cysteine metabolic process	BP	1	1
GO:0005200	0.0917232632376109	0.960536697513839	7	106	structural constituent of cytoskeleton	MF	1	1
GO:0034772	0.0917573750782806	0.997795835516074	1	2	histone H4-K20 dimethylation	BP	1	1
GO:0045259	0.0917658490872699	0.986199871761391	2	21	proton-transporting ATP synthase complex	CC	1	1
GO:0075522	0.091836746264412	0.98709870077643	2	11	IRES-dependent viral translational initiation	BP	1	1
GO:0012507	0.0920433182880463	0.967449460197721	5	60	ER to Golgi transport vesicle membrane	CC	1	1
GO:0061037	0.0920661978793563	0.978249337376269	3	31	negative regulation of cartilage development	BP	1	1
GO:0005049	0.0920841049353585	0.987043797322842	2	11	nuclear export signal receptor activity	MF	1	1
GO:0046185	0.0922140758019031	0.986593980880215	2	14	aldehyde catabolic process	BP	1	1
GO:1904170	0.0922985622171596	0.997769108738078	1	2	regulation of bleb assembly	BP	1	1
GO:1904172	0.0922985622171596	0.997769108738078	1	2	positive regulation of bleb assembly	BP	1	1
GO:0051284	0.0923113970989612	0.986470223359006	2	15	positive regulation of sequestering of calcium ion	BP	1	1
GO:0009206	0.0924729359540948	0.963030980292971	6	115	purine ribonucleoside triphosphate biosynthetic process	BP	1	1
GO:0006760	0.0928266539329305	0.978243675898729	3	26	folic acid-containing compound metabolic process	BP	1	1
GO:0015207	0.0928320587831153	0.997006375588627	1	3	adenine transmembrane transporter activity	MF	1	1
GO:0080184	0.0930679849621327	0.996623806312096	1	4	response to phenylpropanoid	BP	1	1
GO:0002018	0.0930861711603087	0.996989598843553	1	3	renin-angiotensin regulation of aldosterone production	BP	1	1
GO:0010257	0.093181824740356	0.97141184896675	4	59	NADH dehydrogenase complex assembly	BP	1	1
GO:0032981	0.093181824740356	0.97141184896675	4	59	mitochondrial respiratory chain complex I assembly	BP	1	1
GO:0061852	0.0932086516054796	0.997723782148988	1	2	retrograte transporter complex, Golgi to ER	CC	1	1
GO:0072163	0.0932992611204609	0.959779546019904	7	98	mesonephric epithelium development	BP	1	1
GO:0072164	0.0932992611204609	0.959779546019904	7	98	mesonephric tubule development	BP	1	1
GO:0004998	0.0934101309026527	0.997713682833059	1	2	transferrin receptor activity	MF	1	1
GO:0015132	0.0934961492962827	0.997709363937638	1	2	prostaglandin transmembrane transporter activity	MF	1	1
GO:0031432	0.0936233540479254	0.986389831105002	2	13	titin binding	MF	1	1
GO:0072698	0.0936598489614573	0.966849507488808	5	54	protein localization to microtubule cytoskeleton	BP	1	1
GO:0034656	0.0937004812259836	0.977698398120304	3	31	nucleobase-containing small molecule catabolic process	BP	1	1
GO:0090177	0.0937927034726127	0.986350962158056	2	13	establishment of planar polarity involved in neural tube closure	BP	1	1
GO:0032227	0.0938164410832102	0.997693244763702	1	2	negative regulation of synaptic transmission, dopaminergic	BP	1	1
GO:0006635	0.0939250419407434	0.962706385043393	6	76	fatty acid beta-oxidation	BP	1	1
GO:0021557	0.0939595694093619	0.996557436809235	1	4	oculomotor nerve development	BP	1	1
GO:0033262	0.0939845461637378	0.986306878822745	2	13	regulation of nuclear cell cycle DNA replication	BP	1	1
GO:0003858	0.0941269395730156	0.997677561763967	1	2	3-hydroxybutyrate dehydrogenase activity	MF	1	1
GO:0005978	0.0942199156412558	0.971293262439747	4	45	glycogen biosynthetic process	BP	1	1
GO:0009250	0.0942199156412558	0.971293262439747	4	45	glucan biosynthetic process	BP	1	1
GO:0005741	0.0946150165348375	0.948618867079355	12	208	mitochondrial outer membrane	CC	1	1
GO:1990823	0.0947370762152358	0.95897920977482	7	101	response to leukemia inhibitory factor	BP	1	1
GO:0004357	0.0948101117495555	0.997642858726429	1	2	glutamate-cysteine ligase activity	MF	1	1
GO:0017109	0.0948101117495555	0.997642858726429	1	2	glutamate-cysteine ligase complex	CC	1	1
GO:0097069	0.0948101117495555	0.997642858726429	1	2	cellular response to thyroxine stimulus	BP	1	1
GO:1904387	0.0948101117495555	0.997642858726429	1	2	cellular response to L-phenylalanine derivative	BP	1	1
GO:0071942	0.0948850826655131	0.996869431387564	1	3	XPC complex	CC	1	1
GO:0044615	0.0949263101902148	0.986234155413023	2	12	nuclear pore nuclear basket	CC	1	1
GO:1901207	0.095100139208113	0.997628044415292	1	2	regulation of heart looping	BP	1	1
GO:0034199	0.0951375718642844	0.996852368297648	1	3	activation of protein kinase A activity	BP	1	1
GO:0004722	0.0951380296948187	0.95876449221349	7	101	protein serine/threonine phosphatase activity	MF	1	1
GO:1902858	0.0951474489522737	0.996467964461566	1	4	propionyl-CoA metabolic process	BP	1	1
GO:0046456	0.0951732273102193	0.970556136396097	4	61	icosanoid biosynthetic process	BP	1	1
GO:0004583	0.0952333092672966	0.997621225877327	1	2	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity	MF	1	1
GO:0002133	0.0954362292656622	0.99761081623495	1	2	polycystin complex	CC	1	1
GO:0070207	0.0957223269963442	0.985673501560674	2	15	protein homotrimerization	BP	1	1
GO:0003955	0.0957912409660271	0.976574068883839	3	45	NAD(P)H dehydrogenase (quinone) activity	MF	1	1
GO:1900151	0.0958659982363007	0.977222626198496	3	26	regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	BP	1	1
GO:0051791	0.0959021726127129	0.985631006088963	2	15	medium-chain fatty acid metabolic process	BP	1	1
GO:0009058	0.095954414205381	0.917314659565003	237	5931	biosynthetic process	BP	1	1
GO:0046952	0.0960349864201946	0.996791328849172	1	3	ketone body catabolic process	BP	1	1
GO:0030527	0.0961099501766819	0.975979887360045	3	98	structural constituent of chromatin	MF	1	1
GO:1904031	0.0961479062145278	0.970342815103915	4	51	positive regulation of cyclin-dependent protein kinase activity	BP	1	1
GO:0034685	0.096281282176499	0.997567208556548	1	2	integrin alphav-beta6 complex	CC	1	1
GO:0055086	0.0963656061418464	0.932867782858946	31	674	nucleobase-containing small molecule metabolic process	BP	1	1
GO:0030414	0.0964980603945408	0.9526750939049	9	184	peptidase inhibitor activity	MF	1	1
GO:0016903	0.0965085733589095	0.970294445534337	4	47	oxidoreductase activity, acting on the aldehyde or oxo group of donors	MF	1	1
GO:0120225	0.0965238683963078	0.997554613607182	1	2	coenzyme A binding	MF	1	1
GO:0044849	0.0965536675390009	0.985585181774207	2	14	estrous cycle	BP	1	1
GO:0098556	0.0966675813768757	0.996351719320091	1	4	cytoplasmic side of rough endoplasmic reticulum membrane	CC	1	1
GO:0002950	0.0967046162897443	0.997545207025606	1	2	ceramide phosphoethanolamine synthase activity	MF	1	1
GO:0033612	0.0968170754106809	0.976635634296382	3	31	receptor serine/threonine kinase binding	MF	1	1
GO:0047159	0.0968487588657049	0.997537691858834	1	2	1-alkenylglycerophosphocholine O-acyltransferase activity	MF	1	1
GO:0050200	0.0968487588657049	0.997537691858834	1	2	plasmalogen synthase activity	MF	1	1
GO:0009085	0.0968841634902904	0.997535844117561	1	2	lysine biosynthetic process	BP	1	1
GO:0019878	0.0968841634902904	0.997535844117561	1	2	lysine biosynthetic process via aminoadipic acid	BP	1	1
GO:0006766	0.0970235335396399	0.957671051936729	7	109	vitamin metabolic process	BP	1	1
GO:0009145	0.0970462212922626	0.960706212786765	6	116	purine nucleoside triphosphate biosynthetic process	BP	1	1
GO:0060205	0.0971629106066127	0.941914394174541	16	325	cytoplasmic vesicle lumen	CC	1	1
GO:0060213	0.097382223977359	0.98551705303532	2	13	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	BP	1	1
GO:0006275	0.0973911871746916	0.952415777183107	9	136	regulation of DNA replication	BP	1	1
GO:0032795	0.0976359076045369	0.996276646577818	1	4	heterotrimeric G-protein binding	MF	1	1
GO:0090331	0.0978462226022104	0.985559077477119	2	12	negative regulation of platelet aggregation	BP	1	1
GO:0046348	0.0979141165277254	0.985263123467225	2	14	amino sugar catabolic process	BP	1	1
GO:0034684	0.0979441722479014	0.997480185055263	1	2	integrin alphav-beta5 complex	CC	1	1
GO:0003954	0.0979820241412075	0.975829915462978	3	44	NADH dehydrogenase activity	MF	1	1
GO:0005845	0.098002509160405	0.985522591220922	2	12	mRNA cap binding complex	CC	1	1
GO:0006807	0.0980654404249363	0.914767049485361	380	10197	nitrogen compound metabolic process	BP	1	1
GO:0060819	0.0981189417992363	0.997470945375779	1	2	inactivation of X chromosome by genomic imprinting	BP	1	1
GO:0097345	0.0981511949604945	0.975952187429633	3	37	mitochondrial outer membrane permeabilization	BP	1	1
GO:0005497	0.0981871712220869	0.996233551373495	1	4	androgen binding	MF	1	1
GO:0061752	0.0982283116414236	0.997465154175419	1	2	telomeric repeat-containing RNA binding	MF	1	1
GO:1902897	0.0983054005585948	0.997461068079016	1	2	regulation of postsynaptic density protein 95 clustering	BP	1	1
GO:0009235	0.0984456472748825	0.98526633338086	2	13	cobalamin metabolic process	BP	1	1
GO:1900248	0.0984547275332161	0.997453143146432	1	2	negative regulation of cytoplasmic translational elongation	BP	1	1
GO:0071855	0.0984907570556246	0.984143576903833	2	35	neuropeptide receptor binding	MF	1	1
GO:0004915	0.0986200629770583	0.997444353453786	1	2	interleukin-6 receptor activity	MF	1	1
GO:0019981	0.0986200629770583	0.997444353453786	1	2	interleukin-6 binding	MF	1	1
GO:0090153	0.0986232436123543	0.985224299442742	2	13	regulation of sphingolipid biosynthetic process	BP	1	1
GO:1905038	0.0986232436123543	0.985224299442742	2	13	regulation of membrane lipid metabolic process	BP	1	1
GO:0097636	0.0986925275358165	0.997440496008731	1	2	intrinsic component of autophagosome membrane	CC	1	1
GO:0097637	0.0986925275358165	0.997440496008731	1	2	integral component of autophagosome membrane	CC	1	1
GO:0005095	0.0986976589004055	0.985359870083111	2	12	GTPase inhibitor activity	MF	1	1
GO:0033782	0.0987078506822249	0.996605890893092	1	3	24-hydroxycholesterol 7alpha-hydroxylase activity	MF	1	1
GO:0071540	0.0987398240807589	0.997437976658673	1	2	eukaryotic translation initiation factor 3 complex, eIF3e	CC	1	1
GO:0005900	0.0988278179826697	0.99743328600415	1	2	oncostatin-M receptor complex	CC	1	1
GO:1904979	0.0988494484477447	0.997432132265864	1	2	negative regulation of endosome organization	BP	1	1
GO:1905365	0.0988494484477447	0.997432132265864	1	2	regulation of intralumenal vesicle formation	BP	1	1
GO:1905366	0.0988494484477447	0.997432132265864	1	2	negative regulation of intralumenal vesicle formation	BP	1	1
GO:1903762	0.0988884130667213	0.996593167071593	1	3	positive regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	BP	1	1
GO:1905026	0.0988884130667213	0.996593167071593	1	3	positive regulation of membrane repolarization during ventricular cardiac muscle cell action potential	BP	1	1
GO:1905033	0.0988884130667213	0.996593167071593	1	3	positive regulation of membrane repolarization during cardiac muscle cell action potential	BP	1	1
GO:0047374	0.0990241066124914	0.996583588642115	1	3	methylumbelliferyl-acetate deacetylase activity	MF	1	1
GO:0061054	0.099056715003773	0.99616504795293	1	4	dermatome development	BP	1	1
GO:0061183	0.099056715003773	0.99616504795293	1	4	regulation of dermatome development	BP	1	1
GO:0080019	0.0992939469656754	0.997408362858916	1	2	fatty-acyl-CoA reductase (alcohol-forming) activity	MF	1	1
GO:0102965	0.0992939469656754	0.997408362858916	1	2	alcohol-forming fatty acyl-CoA reductase activity	MF	1	1
GO:0099629	0.0992986670203451	0.997408109836434	1	2	postsynaptic specialization of symmetric synapse	CC	1	1
GO:0044308	0.0993813779126752	0.997403673937505	1	2	axonal spine	CC	1	1
GO:0065003	0.0993841628657895	0.921829879844401	69	1641	protein-containing complex assembly	BP	1	1
GO:0006879	0.0994780644122742	0.963899141424149	5	65	cellular iron ion homeostasis	BP	1	1
GO:0071673	0.0994848322519167	0.996131083515842	1	4	positive regulation of smooth muscle cell chemotaxis	BP	1	1
GO:1905223	0.0994880241750617	0.997397948452405	1	2	epicardium morphogenesis	BP	1	1
GO:1902253	0.0995134034315672	0.975617997621438	3	33	regulation of intrinsic apoptotic signaling pathway by p53 class mediator	BP	1	1
GO:0090235	0.0996455157007976	0.984981442106006	2	13	regulation of metaphase plate congression	BP	1	1
GO:0002944	0.0996478732139394	0.997389354239316	1	2	cyclin K-CDK12 complex	CC	1	1
GO:0002945	0.0996478732170696	0.997389354239147	1	2	cyclin K-CDK13 complex	CC	1	1
GO:0006407	0.099692952118176	0.997386927892236	1	2	rRNA export from nucleus	BP	1	1
GO:1990351	0.0998489293729385	0.935760070144007	21	404	transporter complex	CC	1	1
GO:0097111	0.0999084210642629	0.99737531398537	1	2	endoplasmic reticulum-Golgi intermediate compartment organization	BP	1	1
GO:0004662	0.0999947553022825	0.997370652899802	1	2	CAAX-protein geranylgeranyltransferase activity	MF	1	1
GO:0005953	0.0999947553022825	0.997370652899802	1	2	CAAX-protein geranylgeranyltransferase complex	CC	1	1
GO:0051228	0.100004712219742	0.997370115056999	1	2	mitotic spindle disassembly	BP	1	1
GO:0051230	0.100004712219742	0.997370115056999	1	2	spindle disassembly	BP	1	1
GO:1990032	0.10003963247667	0.997368228311228	1	2	parallel fiber	CC	1	1
GO:1990597	0.100039640816202	0.997368227860557	1	2	AIP1-IRE1 complex	CC	1	1
GO:0051916	0.100045123136596	0.99736793158531	1	2	granulocyte colony-stimulating factor binding	MF	1	1
GO:0021627	0.100045123136848	0.997367931585296	1	2	olfactory nerve morphogenesis	BP	1	1
GO:0021628	0.100045123136848	0.997367931585296	1	2	olfactory nerve formation	BP	1	1
GO:0002157	0.100045123136872	0.997367931585295	1	2	positive regulation of thyroid hormone mediated signaling pathway	BP	1	1
GO:0001970	0.100045123137188	0.997367931585278	1	2	positive regulation of activation of membrane attack complex	BP	1	1
GO:0021935	0.100045123137546	0.997367931585258	1	2	cerebellar granule cell precursor tangential migration	BP	1	1
GO:0017087	0.100045123138274	0.997367931585219	1	2	mitochondrial processing peptidase complex	CC	1	1
GO:0034686	0.100045123139986	0.997367931585127	1	2	integrin alphav-beta8 complex	CC	1	1
